city,year,temp,humidity,wind
ahmedabad,1981,27.13161339421613,51.67827397260274,2.4569685830136985
ahmedabad,1982,27.30855403348554,48.7847397260274,2.266088626849315
ahmedabad,1983,27.047534246575342,45.01967123287671,2.4989903430136984
ahmedabad,1984,27.291985428051003,39.99311475409836,2.591146439344262
ahmedabad,1985,28.19971080669711,39.477890410958906,2.556052243287671
ahmedabad,1986,28.166773211567733,35.77161643835616,2.5228733019178082
ahmedabad,1987,29.123424657534244,34.798849315068495,2.6406469084931508
ahmedabad,1988,28.224104432301154,44.41092896174863,2.446469149726776
ahmedabad,1989,27.932450532724506,39.30230136986302,2.408896473424657
ahmedabad,1990,27.898858447488585,47.62630136986301,2.54088962630137
ahmedabad,1991,28.283729071537294,38.39523287671233,2.4358046071232877
ahmedabad,1992,27.73603521554341,42.48142076502732,2.5021170797814207
ahmedabad,1993,28.353485540334855,42.76824657534247,2.4971776876712326
ahmedabad,1994,26.779680365296805,49.95394520547945,2.4287866915068492
ahmedabad,1995,28.38592085235921,39.3327397260274,2.571055640547945
ahmedabad,1996,27.617547055251972,45.58773224043716,2.466463807650273
ahmedabad,1997,26.77910197869102,51.07890410958904,2.3334998093150685
ahmedabad,1998,27.87832572298326,47.47947945205479,2.442700046027397
ahmedabad,1999,28.450517503805177,40.059698630136985,2.554398807671233
ahmedabad,2000,28.31388888888889,38.897896174863384,2.519693324590164
ahmedabad,2001,28.07089802130898,39.9646301369863,2.517741527671233
ahmedabad,2002,28.634733637747335,37.528383561643835,2.5922318641095887
ahmedabad,2003,27.317671232876716,48.96454794520548,2.462369806027397
ahmedabad,2004,27.699286581663632,47.62833333333334,2.3770191650273222
ahmedabad,2005,26.811461187214608,49.274493150684926,2.2735229632876712
ahmedabad,2006,27.30369863013699,52.59682191780822,2.3124338147945207
ahmedabad,2007,27.272039573820393,52.6301095890411,2.298863395068493
ahmedabad,2008,27.347024893746205,46.99855191256831,2.4639354666666664
ahmedabad,2009,28.447625570776257,44.875232876712325,2.400396589589041
ahmedabad,2010,27.653470319634703,54.21564383561643,2.3421221698630137
ahmedabad,2011,27.328691019786913,50.80534246575343,2.462247329315068
ahmedabad,2012,27.40591985428051,45.44737704918033,2.6304639737704916
ahmedabad,2013,26.677168949771687,53.43238356164383,2.3943217446575344
ahmedabad,2014,27.48654490106545,48.89378082191781,2.3714308471232877
ahmedabad,2015,27.999756468797564,45.92797260273972,2.4427735320547943
ahmedabad,2016,28.08477534911961,45.399890710382515,2.371461700546448
ahmedabad,2017,27.490989345509895,48.49334246575342,2.369544705753425
ahmedabad,2018,28.363165905631657,41.54013698630137,2.3646823802739725
ahmedabad,2019,27.128264840182652,55.14802739726027,2.486032306849315
ahmedabad,2020,26.815695203400118,56.584863387978146,2.2554267278688522
ahmedabad,2021,27.58427701674277,52.08213698630137,2.4354984153424657
ahmedabad,2022,27.47176560121766,52.10726027397261,2.4076227156164385
ahmedabad,2023,27.09496194824962,53.872958904109595,2.332336280547945
ahmedabad,2024,27.385200364298726,54.51352459016394,2.3606765551912567
ahmedabad,2025,26.737929984779303,57.983643835616434,2.3145036712328766
ahmedabad,2026,24.454134366925064,37.559418604651164,1.8171656186046512
bangalore,1981,23.13827397260274,70.05857534246576,2.8400547945205474
bangalore,1982,23.301260273972602,67.53523287671233,2.9806575342465753
bangalore,1983,24.13950684931507,62.868849315068495,2.9385479452054795
bangalore,1984,23.40155737704918,67.75827868852458,3.1637978142076504
bangalore,1985,23.688794520547944,64.29712328767124,2.981890410958904
